Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"dataKupon = """"",Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:26,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:26,0.024s,PASSED
println(dataKupon),Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:26,0.002s,PASSED
assert dataKupon.contains(kodeKupon),Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:26,0.000s,PASSED
assert dataKupon.contains(jumlah),Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:26,0.001s,PASSED
assert dataKupon.contains(expired),Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:26,0.000s,PASSED
assert dataKupon.contains(minOrder),Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:26,0.000s,PASSED
assert dataKupon.contains(nilai),Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:26,0.000s,PASSED
,,,,,,,
Test Cases/Product Ecommerce/TC-PE-010,Edge Chromium 117,user ingin mengupdate Kupon produk dengan data valid,,2023-10-05 15:40:26,2023-10-05 15:40:44,18.405s,PASSED
"callTestCase(findTestCase(""Product Ecommerce/TC-PE-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-05 15:40:26,2023-10-05 15:40:39,12.980s,PASSED
"mouseOver(findTestObject(""Product Ecommerce/Image Gambar produk 1""))",Edge Chromium 117,,,2023-10-05 15:40:39,2023-10-05 15:40:40,0.517s,PASSED
"click(findTestObject(""Product Ecommerce/Tambahkan Product/Edit Data""))",Edge Chromium 117,,,2023-10-05 15:40:40,2023-10-05 15:40:41,1.051s,PASSED
"click(findTestObject(""Product Ecommerce/Kupon/Button Buat Product""))",Edge Chromium 117,,,2023-10-05 15:40:41,2023-10-05 15:40:41,0.600s,PASSED
