Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:57:07,2023-10-06 09:57:08,0.096s,PASSED
"Arrays.sort(arrProdukNameSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-06 09:57:08,2023-10-06 09:57:08,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 09:57:08,2023-10-06 09:57:08,0.000s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:57:08,2023-10-06 09:57:08,0.001s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 09:57:08,2023-10-06 09:57:08,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-009,Edge Chromium 117,User ingin mengurutkan harga Reseller product dari yang Terkecil sampai Terbesar,,2023-10-06 09:57:08,2023-10-06 09:57:31,23.253s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 09:57:08,2023-10-06 09:57:30,22.111s,PASSED
"click(findTestObject(""Product Admin/Button Sort Reseller""))",Edge Chromium 117,,,2023-10-06 09:57:30,2023-10-06 09:57:30,0.365s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Harga Reseller""), 10)",Edge Chromium 117,,,2023-10-06 09:57:30,2023-10-06 09:57:31,0.423s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 09:57:31,2023-10-06 09:57:31,0.001s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 09:57:31,2023-10-06 09:57:31,0.000s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 09:57:31,2023-10-06 09:57:31,0.107s,PASSED
Arrays.sort(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 09:57:31,2023-10-06 09:57:31,0.000s,PASSED
